C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-2.jpg,192,0,256,125,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_1.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-17.jpg,0,17,256,203,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_2.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-21.jpg,0,156,19,230,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_3.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-22.jpg,20,4,43,53,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_4.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-25.jpg,80,43,116,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_5.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-26.jpg,52,0,187,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_6.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-27.jpg,75,5,111,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_7.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-40.jpg,184,176,246,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_8.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-41.jpg,88,0,256,55,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_9.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-42.jpg,0,30,197,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_10.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-43.jpg,174,7,256,146,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_11.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-60.jpg,0,125,243,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_12.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-79.jpg,0,138,171,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_13.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-97.jpg,133,0,187,248,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_14.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-98.jpg,212,0,256,44,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_15.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-225.jpg,2,0,236,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_16.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-226.jpg,180,23,256,32,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_17.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-236.jpg,42,36,256,176,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_18.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-237.jpg,0,128,256,184,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_19.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-9.jpg,0,126,256,219,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_20.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-14.jpg,0,185,216,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_21.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-27.jpg,46,125,256,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_22.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-28.jpg,0,20,256,244,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_23.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-32.jpg,9,3,215,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_24.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-33.jpg,0,0,55,35,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_25.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-34.jpg,48,97,256,250,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_26.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-46.jpg,2,127,128,233,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_27.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-47.jpg,28,8,219,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_28.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-48.jpg,199,86,256,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_29.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-49.jpg,0,0,112,91,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_30.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-50.jpg,110,136,256,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_31.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-63.jpg,0,0,244,138,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_32.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-64.jpg,99,0,138,32,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_33.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-66.jpg,0,0,256,200,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_34.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-67.jpg,0,0,256,112,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_35.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-81.jpg,0,119,109,166,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_36.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-85.jpg,76,200,118,208,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_37.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-86.jpg,208,0,256,69,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_38.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-104.jpg,84,145,255,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_39.png
